,original_index,Grupo_Metabolico
897,15103,2. Transferasas
898,15116,3. Hidrolasas
899,15122,2. Transferasas
900,15124,2. Transferasas
901,15134,3. Hidrolasas
902,15148,2. Transferasas
903,15165,2. Transferasas
904,15166,1. Oxidorreductasas
905,15174,3. Hidrolasas
906,15204,1. Oxidorreductasas
907,15215,2. Transferasas
908,15216,2. Transferasas
909,15217,1. Oxidorreductasas
910,15218,1. Oxidorreductasas
911,15234,3. Hidrolasas
912,15252,2. Transferasas
913,15260,2. Transferasas
914,15306,2. Transferasas
915,15339,3. Hidrolasas
916,15348,2. Transferasas
917,15357,3. Hidrolasas
918,15405,2. Transferasas
919,15438,2. Transferasas
920,15449,1. Oxidorreductasas
921,15465,1. Oxidorreductasas
922,15487,1. Oxidorreductasas
923,15488,3. Hidrolasas
924,15511,2. Transferasas
925,15512,2. Transferasas
926,15533,4. Liasas
927,15556,2. Transferasas
928,15574,3. Hidrolasas
929,15615,2. Transferasas
930,15616,2. Transferasas
931,15621,1. Oxidorreductasas
932,15627,2. Transferasas
933,15675,1. Oxidorreductasas
934,15694,2. Transferasas
935,15722,1. Oxidorreductasas
936,15742,5. Isomerasas
937,15746,2. Transferasas
938,15782,1. Oxidorreductasas
939,15804,7. Translocasas
940,15809,3. Hidrolasas
941,15824,2. Transferasas
942,15846,3. Hidrolasas
943,15850,2. Transferasas
944,15859,2. Transferasas
945,15862,2. Transferasas
946,15863,2. Transferasas
947,15871,2. Transferasas
948,15896,2. Transferasas
949,15901,6. Ligasas
950,15911,2. Transferasas
951,15912,2. Transferasas
952,15914,2. Transferasas
953,15915,2. Transferasas
954,15918,2. Transferasas
955,15948,2. Transferasas
956,15949,2. Transferasas
957,15952,3. Hidrolasas
958,15972,3. Hidrolasas
959,15975,2. Transferasas
960,15976,2. Transferasas
961,15979,2. Transferasas
962,15986,1. Oxidorreductasas
963,15993,2. Transferasas
964,15994,3. Hidrolasas
965,15995,5. Isomerasas
966,16004,2. Transferasas
967,16017,3. Hidrolasas
968,16018,3. Hidrolasas
969,16038,5. Isomerasas
970,16050,1. Oxidorreductasas
971,16051,1. Oxidorreductasas
972,16053,1. Oxidorreductasas
973,16054,1. Oxidorreductasas
974,16055,1. Oxidorreductasas
975,16056,1. Oxidorreductasas
976,16057,1. Oxidorreductasas
977,16058,2. Transferasas
978,16070,3. Hidrolasas
979,16074,3. Hidrolasas
980,16075,2. Transferasas
981,16087,3. Hidrolasas
982,16098,2. Transferasas
983,16104,4. Liasas
984,16107,3. Hidrolasas
